data,extract2,extract1,extract
0101,12:00pm - 12:50pm,CSI  1121,CMSC456
Jonathan Katz,12:00pm - 12:50pm,CSI  1121,CMSC456
(Total: 40, Open: 0, Waitlist: 3),12:00pm - 12:50pm,CSI  1121,CMSC456
MWF ,12:00pm - 12:50pm,CSI  1121,CMSC456
0101,12:30pm - 1:45pm,MTH  0304,CMSC460
Harland Glaz ,12:30pm - 1:45pm,MTH  0304,CMSC460
(Total: 33, Open: 0, Waitlist: 2),12:30pm - 1:45pm,MTH  0304,CMSC460
TuTh ,12:30pm - 1:45pm,MTH  0304,CMSC460
0201,2:00pm - 3:15pm,MTH  0409,CMSC460
Changhui Tan,2:00pm - 3:15pm,MTH  0409,CMSC460
(Total: 25, Open: 2, Waitlist: 0),2:00pm - 3:15pm,MTH  0409,CMSC460
TuTh ,2:00pm - 3:15pm,MTH  0409,CMSC460
0101,11:00am - 11:50am,MTH  1311,CMSC466
Maria Cameron,11:00am - 11:50am,MTH  1311,CMSC466
(Total: 25, Open: 11, Waitlist: 0),11:00am - 11:50am,MTH  1311,CMSC466
MWF ,11:00am - 11:50am,MTH  1311,CMSC466
0101,3:30pm - 4:45pm,CSI  2120,CMSC474
Dana Nau ,3:30pm - 4:45pm,CSI  2120,CMSC474
(Total: 40, Open: 9, Waitlist: 0),3:30pm - 4:45pm,CSI  2120,CMSC474
TuTh ,3:30pm - 4:45pm,CSI  2120,CMSC474
0101,11:00am - 12:15pm,ITV  1100,CMSC498
Uzi Vishkin ,11:00am - 12:15pm,ITV  1100,CMSC498
(Total: 10, Open: 7, Waitlist: 0),11:00am - 12:15pm,ITV  1100,CMSC498
MW ,11:00am - 12:15pm,ITV  1100,CMSC498
0101,11:00am - 12:15pm,CSI  2107,CMSC498
Amol Deshpande,11:00am - 12:15pm,CSI  2107,CMSC498
(Total: 40, Open: 8, Waitlist: 0),11:00am - 12:15pm,CSI  2107,CMSC498
