data,extract4,extract3,extract2,extract1,extract
TuTh ,0203,(Total: 28, Open: 0, Waitlist: 0),11:00am - 12:15pm,CSI  1115,CMSC216
Nelson Padua-Perez ,0204,(Total: 28, Open: 0, Waitlist: 0),11:00am - 12:15pm,CSI  1115,CMSC216
TuTh ,0204,(Total: 28, Open: 0, Waitlist: 0),11:00am - 12:15pm,CSI  1115,CMSC216
Nelson Padua-Perez ,0301,(Total: 28, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
TuTh ,0301,(Total: 28, Open: 2, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
Nelson Padua-Perez ,0302,(Total: 28, Open: 2, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
TuTh ,0302,(Total: 28, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
Nelson Padua-Perez ,0303,(Total: 28, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
TuTh ,0303,(Total: 28, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
Nelson Padua-Perez ,0304,(Total: 28, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  1115,CMSC216
TuTh ,0304,(Total: 29, Open: 0, Waitlist: 4),2:00pm - 3:15pm,CSI  1115,CMSC216
Clyde Kruskal ,0101,(Total: 29, Open: 0, Waitlist: 4),2:00pm - 3:15pm,CSI  2117,CMSC250
TuTh ,0101,(Total: 29, Open: 0, Waitlist: 5),2:00pm - 3:15pm,CSI  2117,CMSC250
Clyde Kruskal ,0102,(Total: 29, Open: 0, Waitlist: 5),2:00pm - 3:15pm,CSI  2117,CMSC250
TuTh ,0102,(Total: 29, Open: 0, Waitlist: 3),2:00pm - 3:15pm,CSI  2117,CMSC250
Clyde Kruskal ,0103,(Total: 29, Open: 0, Waitlist: 3),2:00pm - 3:15pm,CSI  2117,CMSC250
TuTh ,0103,(Total: 29, Open: 0, Waitlist: 5),2:00pm - 3:15pm,CSI  2117,CMSC250
Clyde Kruskal ,0201,(Total: 29, Open: 0, Waitlist: 5),3:30pm - 4:45pm,CSI  1115,CMSC250
TuTh ,0201,(Total: 29, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  1115,CMSC250
Clyde Kruskal ,0202,(Total: 29, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  1115,CMSC250
TuTh ,0202,(Total: 29, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  1115,CMSC250
Clyde Kruskal ,0203,(Total: 29, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  1115,CMSC250
TuTh ,0203,(Total: 29, Open: 14, Waitlist: 0),3:30pm - 4:45pm,CSI  1115,CMSC250
Clyde Kruskal ,0204,(Total: 29, Open: 14, Waitlist: 0),3:30pm - 4:45pm,CSI  1115,CMSC250
TuTh ,0204,(Total: 29, Open: 0, Waitlist: 1),3:30pm - 4:45pm,CSI  1115,CMSC250
Thomas Reinhardt,0301,(Total: 29, Open: 0, Waitlist: 1),11:00am - 12:15pm,CSI  3117,CMSC250
TuTh ,0301,(Total: 29, Open: 1, Waitlist: 0),11:00am - 12:15pm,CSI  3117,CMSC250
Thomas Reinhardt,0302,(Total: 29, Open: 1, Waitlist: 0),11:00am - 12:15pm,CSI  3117,CMSC250
TuTh ,0302,(Total: 29, Open: 0, Waitlist: 5),11:00am - 12:15pm,CSI  3117,CMSC250
Thomas Reinhardt,0303,(Total: 29, Open: 0, Waitlist: 5),11:00am - 12:15pm,CSI  3117,CMSC250
TuTh ,0303,(Total: 25, Open: 0, Waitlist: 0),11:00am - 12:15pm,CSI  3117,CMSC250
Thomas Goldstein,0101,(Total: 25, Open: 0, Waitlist: 0),12:30pm - 1:45pm,CSI  3118,CMSC250
TuTh ,0101,(Total: 60, Open: 0, Waitlist: 36),12:30pm - 1:45pm,CSI  3118,CMSC250
James Reggia ,0101,(Total: 60, Open: 0, Waitlist: 36),11:00am - 12:15pm,CSI  2117,CMSC289
TuTh ,0101,(Total: 27, Open: 0, Waitlist: 0),11:00am - 12:15pm,CSI  2117,CMSC289
Chau-Wen Tseng ,0101,(Total: 27, Open: 0, Waitlist: 0),3:30pm - 4:45pm,CSI  3117,CMSC330
TuTh ,0101,(Total: 27, Open: 0, Waitlist: 0),3:30pm - 4:45pm,CSI  3117,CMSC330
Chau-Wen Tseng ,0102,(Total: 27, Open: 0, Waitlist: 0),3:30pm - 4:45pm,CSI  3117,CMSC330
TuTh ,0102,(Total: 27, Open: 1, Waitlist: 0),3:30pm - 4:45pm,CSI  3117,CMSC330
Chau-Wen Tseng ,0103,(Total: 27, Open: 1, Waitlist: 0),3:30pm - 4:45pm,CSI  3117,CMSC330
TuTh ,0103,(Total: 27, Open: 0, Waitlist: 0),3:30pm - 4:45pm,CSI  3117,CMSC330
Chau-Wen Tseng ,0201,(Total: 27, Open: 0, Waitlist: 0),12:30pm - 1:45pm,CSI  3117,CMSC330
TuTh ,0201,(Total: 27, Open: 0, Waitlist: 1),12:30pm - 1:45pm,CSI  3117,CMSC330
Chau-Wen Tseng ,0202,(Total: 27, Open: 0, Waitlist: 1),12:30pm - 1:45pm,CSI  3117,CMSC330
TuTh ,0202,(Total: 27, Open: 13, Waitlist: 0),12:30pm - 1:45pm,CSI  3117,CMSC330
Chau-Wen Tseng ,0203,(Total: 27, Open: 13, Waitlist: 0),12:30pm - 1:45pm,CSI  3117,CMSC330
TuTh ,0203,(Total: 27, Open: 0, Waitlist: 0),12:30pm - 1:45pm,CSI  3117,CMSC330
Chau-Wen Tseng ,0301,(Total: 27, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  3117,CMSC330
TuTh ,0301,(Total: 27, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  3117,CMSC330
Chau-Wen Tseng ,0302,(Total: 27, Open: 0, Waitlist: 0),2:00pm - 3:15pm,CSI  3117,CMSC330
TuTh ,0302,(Total: 27, Open: 1, Waitlist: 0),2:00pm - 3:15pm,CSI  3117,CMSC330
Chau-Wen Tseng ,0303,(Total: 27, Open: 1, Waitlist: 0),2:00pm - 3:15pm,CSI  3117,CMSC330
TuTh ,0303,(Total: 88, Open: 0, Waitlist: 2),2:00pm - 3:15pm,CSI  3117,CMSC330
Hamid Mahini,0101,(Total: 88, Open: 0, Waitlist: 2),10:00am - 10:50am,CSI  3117,CMSC351
MWF ,0101,(Total: 88, Open: 0, Waitlist: 4),10:00am - 10:50am,CSI  3117,CMSC351
Hamid Mahini,0201,(Total: 88, Open: 0, Waitlist: 4),11:00am - 11:50am,CSI  3117,CMSC351
MWF ,0201,(Total: 88, Open: 0, Waitlist: 0),11:00am - 11:50am,CSI  3117,CMSC351
Hamid Mahini,0301,(Total: 88, Open: 0, Waitlist: 0),3:00pm - 3:50pm,CSI  2117,CMSC351
MWF ,0301,(Total: 25, Open: 0, Waitlist: 0),3:00pm - 3:50pm,CSI  2117,CMSC351
Atif Memon , Neil Spring,0101,(Total: 25, Open: 0, Waitlist: 0),1:00pm - 1:50pm,AVW  4172,CMSC396
W ,0101,(Total: 45, Open: 0, Waitlist: 3),1:00pm - 1:50pm,AVW  4172,CMSC396
Michelle Hugue ,0101,(Total: 45, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  1122,CMSC411
TuTh ,0101,(Total: 45, Open: 0, Waitlist: 3),3:30pm - 4:45pm,CSI  1122,CMSC411
