split,split1,split2,split3,split4,split5,split6,split7
CMSC330,0302,,27,0,0,TuTh 2:00pm - 3:15pm,CSI  3117
CMSC330,0302,,,,,TuTh 2:00pm - 3:15pm,CSI  3117
CMSC330,0303,,,,,TuTh 2:00pm - 3:15pm,CSI  3117
CMSC330,0303,Chau-Wen Tseng,,,,TuTh 2:00pm - 3:15pm,CSI  3117
CMSC330,0303,,27,1,0,TuTh 2:00pm - 3:15pm,CSI  3117
CMSC330,0303,,,,,TuTh 2:00pm - 3:15pm,CSI  3117
CMSC351,0101,,,,,MWF 10:00am - 10:50am,CSI  3117
CMSC351,0101,Hamid Mahini,,,,MWF 10:00am - 10:50am,CSI  3117
CMSC351,0101,,88,0,2,MWF 10:00am - 10:50am,CSI  3117
CMSC351,0101,,,,,MWF 10:00am - 10:50am,CSI  3117
CMSC351,0201,,,,,MWF 11:00am - 11:50am,CSI  3117
CMSC351,0201,Hamid Mahini,,,,MWF 11:00am - 11:50am,CSI  3117
CMSC351,0201,,88,0,4,MWF 11:00am - 11:50am,CSI  3117
CMSC351,0201,,,,,MWF 11:00am - 11:50am,CSI  3117
CMSC351,0301,,,,,MWF 3:00pm - 3:50pm,CSI  2117
CMSC351,0301,Hamid Mahini,,,,MWF 3:00pm - 3:50pm,CSI  2117
CMSC351,0301,,88,0,0,MWF 3:00pm - 3:50pm,CSI  2117
CMSC351,0301,,,,,MWF 3:00pm - 3:50pm,CSI  2117
CMSC396,0101,,,,,W 1:00pm - 1:50pm,AVW  4172
CMSC396,0101,Atif Memon Neil Spring,,,,W 1:00pm - 1:50pm,AVW  4172
CMSC396,0101,,25,0,0,W 1:00pm - 1:50pm,AVW  4172
CMSC396,0101,,,,,W 1:00pm - 1:50pm,AVW  4172
CMSC411,0101,,,,,TuTh 3:30pm - 4:45pm,CSI  1122
CMSC411,0101,Michelle Hugue,,,,TuTh 3:30pm - 4:45pm,CSI  1122
CMSC411,0101,,45,0,3,TuTh 3:30pm - 4:45pm,CSI  1122
CMSC411,0101,,,,,TuTh 3:30pm - 4:45pm,CSI  1122
CMSC411,0201,,,,,TuTh 2:00pm - 3:15pm,CSI  1122
CMSC411,0201,Michelle Hugue,,,,TuTh 2:00pm - 3:15pm,CSI  1122
CMSC411,0201,,45,0,3,TuTh 2:00pm - 3:15pm,CSI  1122
CMSC411,0201,,,,,TuTh 2:00pm - 3:15pm,CSI  1122
CMSC412,0101,,,,,TuTh 11:00am - 12:15pm,CSI  1122
CMSC412,0101,Neil Spring,,,,TuTh 11:00am - 12:15pm,CSI  1122
CMSC412,0101,,25,0,4,TuTh 11:00am - 12:15pm,CSI  1122
CMSC412,0101,,,,,TuTh 11:00am - 12:15pm,CSI  1122
CMSC412,0102,,,,,TuTh 11:00am - 12:15pm,CSI  1122
CMSC412,0102,Neil Spring,,,,TuTh 11:00am - 12:15pm,CSI  1122
CMSC412,0102,,25,0,3,TuTh 11:00am - 12:15pm,CSI  1122
CMSC412,0102,,,,,TuTh 11:00am - 12:15pm,CSI  1122
CMSC414,0101,,,,,TuTh 12:30pm - 1:45pm,CSI  1122
CMSC414,0101,A. U. Shankar,,,,TuTh 12:30pm - 1:45pm,CSI  1122
CMSC414,0101,,40,0,6,TuTh 12:30pm - 1:45pm,CSI  1122
CMSC414,0101,,,,,TuTh 12:30pm - 1:45pm,CSI  1122
CMSC414,0201,,,,,MW 3:30pm - 4:45pm,CSI  1122
CMSC414,0201,Elaine Shi,,,,MW 3:30pm - 4:45pm,CSI  1122
CMSC414,0201,,50,1,0,MW 3:30pm - 4:45pm,CSI  1122
CMSC414,0201,,,,,MW 3:30pm - 4:45pm,CSI  1122
CMSC417,0101,,,,,TuTh 11:00am - 12:15pm,CSI  3120
CMSC417,0101,Ashok Agrawala,,,,TuTh 11:00am - 12:15pm,CSI  3120
CMSC417,0101,,40,5,0,TuTh 11:00am - 12:15pm,CSI  3120
CMSC417,0101,,,,,TuTh 11:00am - 12:15pm,CSI  3120
CMSC417,0201,,,,,TuTh 3:30pm - 4:45pm,CSI  2107
CMSC417,0201,Instructor: TBA,,,,TuTh 3:30pm - 4:45pm,CSI  2107
CMSC417,0201,,40,27,0,TuTh 3:30pm - 4:45pm,CSI  2107
CMSC417,0201,,,,,TuTh 3:30pm - 4:45pm,CSI  2107
CMSC417,0201,,,,,TuTh 12:30pm - 1:45pm,CSI  2107
CMSC420,0201,,,,,TuTh 12:30pm - 1:45pm,CSI  2120
CMSC420,0101,,,,,TuTh 12:30pm - 1:45pm,CSI  2120
CMSC420,0101,Hanan Samet,,,,TuTh 12:30pm - 1:45pm,CSI  2120
CMSC420,0101,,40,0,0,TuTh 12:30pm - 1:45pm,CSI  2120
CMSC420,0101,,,,,TuTh 12:30pm - 1:45pm,CSI  2120
CMSC420,0101,,,,,MW 3:30pm - 4:45pm,CSI  2120
CMSC420,0201,,,,,MW 3:30pm - 4:45pm,CSI  3120
CMSC420,0201,Michelle Hugue,,,,MW 3:30pm - 4:45pm,CSI  3120
CMSC420,0201,,40,0,10,MW 3:30pm - 4:45pm,CSI  3120
CMSC420,0201,,,,,MW 3:30pm - 4:45pm,CSI  3120
