data,merge,extract4,extract3,extract2,extract1,extract
A.U. Shankar ,TuTh,0101,(Total: 20, Open: 0, Waitlist: 0),2:00pm - 3:30pm,AVW  3258,CMSC712
Hal Daume,TuTh,0101,(Total: 40, Open: 0, Waitlist: 10),2:00pm - 3:15pm,CSI  2120,CMSC723
David Jacobs ,TuTh,0101,(Total: 32, Open: 0, Waitlist: 17),11:00am - 12:15pm,CSI  3118,CMSC733
Atif Memon ,TuTh,0101,(Total: 20, Open: 0, Waitlist: 0),9:30am - 10:45am,CSI  2118,CMSC737
David Mount ,TuTh,0101,(Total: 32, Open: 0, Waitlist: 15),12:30pm - 1:45pm,CSI  2118,CMSC754
Jeffrey Foster ,TuTh,0101,(Total: 40, Open: 10, Waitlist: 0),11:00am - 12:50pm,CSI  2117,CMSC798
F ,TuTh,0101,(Total: 20, Open: 1, Waitlist: 0),11:00am - 12:50pm,CSI  2117,CMSC798
Peter Keleher ,TuTh,0101,(Total: 20, Open: 1, Waitlist: 0),11:00am - 12:15pm,AVW  3258,CMSC818
Instructor: TBA,TuTh,0101,(Total: 145, Open: 145, Waitlist: 0),4:00pm - 5:00pm,CSI  1115,CMSC818
MW ,TuTh,0101,(Total: 15, Open: 13, Waitlist: 0),4:00pm - 5:00pm,CSI  1115,CMSC818
Tudor Dumitras,TuTh,0101,(Total: 15, Open: 13, Waitlist: 0),12:30pm - 1:45pm,JMP  1202,CMSC818
MW ,TuTh,0101,(Total: 25, Open: 2, Waitlist: 0),12:30pm - 1:45pm,JMP  1202,CMSC818
Larry Davis ,TuTh,0101,(Total: 25, Open: 2, Waitlist: 0),2:00pm - 3:15pm,CSI  2118,CMSC828
Venkatramanan Subrahmanian ,TuTh,0101,(Total: 25, Open: 12, Waitlist: 0),9:30am - 10:45am,CSI  3118,CMSC828
Mohammad Hajiaghayi,TuTh,0101,(Total: 20, Open: 3, Waitlist: 0),3:30pm - 4:45pm,CSI  2118,CMSC858
